human_fairness,human_acc,systemic,frank_fairness,frank_acc,rules_count,past_count,ok_count,no_count,xai_ok,xai_no,skept_count,agree_count,disagree_count
0.08695652173913043,0.6666666666666666,1,0.009559606369149487,0.7087852494577006,0,0,16,25,15,85,41,51,4
0.09574468085106386,0.6701030927835051,1,0.009559606369149487,0.7087852494577006,0,0,17,25,15,85,42,51,4
0.08333333333333331,0.673469387755102,1,0.010636032633950354,0.7082429501084598,0,0,18,25,15,85,43,51,4
0.09183673469387754,0.6666666666666666,1,0.010636032633950354,0.7082429501084598,0,0,19,25,15,85,44,51,4
0.10164065626250496,0.67,1,0.01396413088872811,0.7120390455531453,0,0,19,25,15,85,44,51,5
0.09183673469387754,0.6633663366336634,1,0.015040557153528977,0.7114967462039046,0,0,19,25,15,85,44,51,6
0.10127069695802848,0.6666666666666666,1,0.016116983418329844,0.7120390455531453,0,0,19,25,15,85,44,52,6
0.11035525321239603,0.6699029126213593,1,0.016116983418329844,0.7120390455531453,0,0,20,25,15,85,45,52,6
0.11851851851851847,0.6730769230769231,1,0.01719340968313071,0.7125813449023861,0,0,20,25,15,85,45,53,6
0.12636165577342046,0.6761904761904762,1,0.019395671942920023,0.7125813449023861,0,0,21,25,15,85,46,53,6
0.1351158645276292,0.6792452830188679,1,0.019395671942920023,0.7125813449023861,0,0,21,25,15,85,46,54,6
0.12570028011204487,0.6822429906542056,1,0.019395671942920023,0.7125813449023861,0,0,22,25,15,85,47,54,6
0.13324175824175827,0.6759259259259259,1,0.02047209820772089,0.7120390455531453,0,0,23,25,15,85,48,54,6
0.14170040485829954,0.6788990825688074,1,0.022641420647385113,0.7120390455531453,0,0,23,25,15,85,48,55,6
0.14986737400530498,0.6818181818181818,1,0.02371784691218598,0.7125813449023861,0,0,23,25,15,85,48,56,6
0.15775749674054756,0.6756756756756757,1,0.022641420647385113,0.7131236442516269,0,0,23,26,16,88,49,56,6
0.1487179487179487,0.6696428571428571,1,0.022641420647385113,0.7131236442516269,0,0,23,26,16,88,49,57,6
0.15597484276729556,0.6637168141592921,1,0.022641420647385113,0.7131236442516269,0,0,24,26,16,88,50,57,6
0.16296296296296298,0.6666666666666666,1,0.022641420647385113,0.7131236442516269,0,0,25,26,16,88,51,57,6
0.17061323618700674,0.6695652173913044,1,0.0204391583875958,0.7109544468546638,0,0,26,26,16,88,52,57,6
0.17734724292101345,0.6724137931034483,1,0.0204391583875958,0.7109544468546638,0,0,27,26,16,88,53,57,6
0.18475073313782986,0.6666666666666666,1,0.021532054562459213,0.710412147505423,0,0,27,27,16,92,54,57,6
0.176046176046176,0.6694915254237288,1,0.021532054562459213,0.710412147505423,0,0,27,27,16,92,54,58,6
0.16468253968253965,0.6638655462184874,1,0.020455628297658346,0.7098698481561823,0,0,27,28,16,96,55,58,6
0.15371762740183792,0.6666666666666666,1,0.01937920203285748,0.710412147505423,0,0,27,28,16,96,55,59,6
0.14528508771929827,0.6611570247933884,1,0.015024087243466433,0.710412147505423,0,0,27,28,16,96,55,60,6
